Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
509,SF,25,35,8,23.8,4.1,8.9,0.455,2.7,6.5,0.41200000000000003,1.4,2.4,0.5710000000000001,0.606,0.9,1.1,0.775,0.4,3.0,3.4,1.3,0.3,0.2,0.7,1.5,11.7
416,SF,25,2,0,21.5,5.0,7.5,0.667,0.5,1.5,0.33299999999999996,4.5,6.0,0.75,0.7,1.0,1.5,0.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
420,SF,26,34,0,22.7,3.8,8.8,0.431,2.0,5.6,0.363,1.8,3.2,0.55,0.547,1.1,1.7,0.655,0.4,2.1,2.5,1.7,1.0,0.2,0.9,1.8,10.7
310,SF,19,34,4,11.9,2.3,4.8,0.47600000000000003,0.5,1.6,0.302,1.8,3.3,0.5589999999999999,0.524,1.4,2.2,0.653,0.5,1.9,2.4,0.5,0.4,0.2,0.8,1.5,6.5
272,SF,26,4,0,16.3,2.8,6.3,0.44,1.0,2.5,0.4,1.8,3.8,0.467,0.52,0.0,0.0,0.0,1.5,2.3,3.8,0.0,0.0,0.3,0.0,1.0,6.5
233,SF,26,4,0,12.8,1.3,3.0,0.41700000000000004,0.8,2.0,0.375,0.5,1.0,0.5,0.542,1.0,1.5,0.667,1.0,1.3,2.3,0.5,0.0,0.0,0.3,2.0,4.3
256,SF,34,41,11,25.1,2.6,6.4,0.414,1.8,5.0,0.35700000000000004,0.8,1.3,0.63,0.556,0.3,0.4,0.778,0.3,2.7,3.0,3.5,0.6,0.1,1.1,1.8,7.4
225,SF,31,45,45,33.1,6.2,13.1,0.47100000000000003,1.8,4.6,0.397,4.3,8.4,0.512,0.542,2.8,3.3,0.846,0.8,3.9,4.7,3.7,1.0,0.5,1.7,1.8,17.0
582,SF,22,8,0,1.9,0.1,0.5,0.25,0.1,0.1,1.0,0.0,0.4,0.0,0.375,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.3,0.6
513,SF,26,45,44,27.2,5.0,9.8,0.503,0.8,2.6,0.303,4.2,7.2,0.5770000000000001,0.544,1.8,2.6,0.701,1.7,4.0,5.7,3.1,0.9,0.6,1.8,3.6,12.5
396,SG,22,6,0,7.0,0.8,1.8,0.455,0.0,0.2,0.0,0.8,1.7,0.5,0.455,0.2,0.3,0.5,0.0,0.3,0.3,1.7,0.0,0.0,0.2,0.3,1.8
456,SG,20,15,0,5.5,0.9,2.3,0.41200000000000003,0.1,0.7,0.182,0.8,1.5,0.522,0.441,0.3,0.7,0.5,0.1,0.3,0.3,0.2,0.1,0.1,0.1,0.3,2.3
247,SG,22,17,0,6.9,1.4,3.8,0.359,1.1,2.8,0.396,0.2,0.9,0.25,0.508,0.4,0.5,0.875,0.0,0.3,0.3,0.3,0.4,0.0,0.4,0.6,4.2
202,SG,21,31,0,12.1,1.6,3.0,0.5479999999999999,0.2,0.6,0.35,1.4,2.4,0.603,0.586,0.5,0.7,0.667,0.6,1.3,1.9,1.0,0.5,0.2,0.4,1.5,4.0
270,SG,22,30,1,12.0,1.2,3.7,0.33299999999999996,0.9,2.8,0.306,0.4,0.9,0.423,0.45,0.5,0.5,0.938,0.1,1.1,1.2,0.7,0.3,0.1,0.3,0.8,3.8
148,SG,24,38,26,29.1,5.2,11.7,0.442,1.8,5.1,0.35200000000000004,3.4,6.7,0.51,0.518,1.4,1.9,0.722,0.7,3.4,4.1,2.2,1.1,0.2,1.6,1.8,13.5
85,SG,21,20,1,5.7,0.9,2.6,0.34600000000000003,0.5,1.5,0.33299999999999996,0.4,1.1,0.364,0.442,0.3,0.5,0.667,0.1,0.7,0.8,0.7,0.2,0.3,0.8,1.0,2.6
465,SG,29,31,9,20.3,2.1,5.5,0.379,1.1,3.6,0.313,0.9,1.8,0.509,0.48200000000000004,0.4,0.6,0.611,0.4,1.4,1.7,1.0,0.5,0.1,0.8,1.6,5.6
484,SG,21,14,0,6.8,1.1,2.9,0.375,0.4,1.4,0.263,0.7,1.5,0.47600000000000003,0.43799999999999994,0.3,0.5,0.5710000000000001,0.1,0.6,0.8,0.5,0.2,0.2,0.4,0.4,2.8
460,SG,26,18,2,16.6,1.7,3.7,0.47,0.7,1.7,0.419,1.0,1.9,0.514,0.568,0.2,0.3,0.8,0.5,2.4,2.9,1.2,0.9,0.2,0.2,1.7,4.4
120,SG,24,3,0,4.0,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.7
41,SG,25,45,9,26.9,4.4,11.9,0.375,3.0,8.7,0.349,1.4,3.2,0.444,0.502,0.5,0.6,0.7240000000000001,0.4,2.8,3.2,1.6,0.6,0.1,0.7,1.2,12.4
274,SG,20,2,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,SG,35,43,12,19.4,2.0,5.2,0.39,1.2,3.4,0.35200000000000004,0.8,1.8,0.462,0.504,0.5,0.7,0.733,0.6,2.1,2.7,1.2,0.8,0.4,0.8,1.6,5.7
482,SG,28,40,25,31.7,5.8,13.0,0.44299999999999995,1.5,4.3,0.359,4.3,8.8,0.484,0.502,2.8,3.3,0.85,0.6,2.9,3.5,4.7,1.0,0.1,2.2,2.5,15.9
176,SG,30,3,0,16.3,0.3,4.3,0.077,0.0,2.7,0.0,0.3,1.7,0.2,0.077,0.0,0.0,0.0,0.7,2.7,3.3,2.3,0.3,0.0,0.3,0.7,0.7
495,SG,21,3,0,9.0,0.3,3.3,0.1,0.3,2.3,0.14300000000000002,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.0,2.0,2.0,0.3,1.0,0.3,0.0,1.3,1.0
